Number,Mark,Grade,Gender,Age,PO,FFS,Fsupport,PocketMoney,Feeding,Distance,NegativeIH,QualityTeacher,TStR,NRoll, PVC,CondC,DYESM,SH,HODYDH,DYMS,ALM,ExtC,ExtraCA,Activity, NIOA
88,34,6,0,2,Teacher,M,Good,6-10 cedis,3,Close,Yes,Excellent,Good,38,Yes,Yes,Yes,less than an hour,Regularly,Not at all,Yes,Yes,No,,
89,35,6,0,2,Accountant,M,Good,6-10 cedis,3,Far,Maybe,Excellent,Good,38,Yes,No,Maybe,2 hours and above,Regularly,Not at all,Yes,No,No,,
90,35,6,0,1,Caterer,M,Good,11 cedis and above,2,very Far,No,Excellent,Excellent,38,Yes,Yes,Maybe,2 hours and above,Regularly,Not at all,Yes,No,No,,
91,35,6,0,1,Trader,M,Fair,11 cedis and above,2,Far,No,Average,Good,38,Yes,Yes,Maybe,1 hour,Regularly,Sometimes,Yes,No,No,,
92,35,6,0,1,Doctor,M,Good,11 cedis and above,3,very Far,No,Excellent,Excellent,38,Yes,Yes,Maybe,2 hours and above,Regularly,Sometimes,Yes,Yes,No,,
93,35,6,0,1,Trader,M,Good,6-10 cedis,3,Far,Maybe,Average,Average,38,Yes,Yes,Maybe,1 hour,Irregularly,Sometimes,Yes,No,No,,
94,35,6,0,1,Teacher,high,Good,11 cedis and above,3,Close,No,Excellent,Good,38,Yes,Yes,No,2 hours and above,Irregularly,Not at all,Yes,No,No,,
95,35.6,6,0,1,Health worker,M,Good,11 cedis and above,3,Far,No,Poor,Good,38,Yes,Maybe,No,less than an hour,Irregularly,Not at all,Yes,No,No,,
96,35.8,6,1,2,Accountant,high,Good,11 cedis and above,3,Close,No,Excellent,Good,38,Yes,Yes,Yes,1 hour,Regularly,Not at all,Yes,Yes,Yes,Sports,No
97,36,6,0,2,Trader,M,Good,11 cedis and above,3,very Far,No,Excellent,Excellent,38,Yes,Yes,Yes,2 hours and above,Regularly,Sometimes,Yes,No,No,,
98,36,6,0,1,Teacher,high,Good,2-5 cedis,3,very Far,No,Excellent,Excellent,38,Maybe,Yes,Maybe,1 hour,Regularly,Sometimes,Yes,Yes,No,,
99,36,6,0,1,Teacher,M,Fair,6-10 cedis,2,Far,Maybe,Excellent,Average,38,Yes,Yes,Yes,less than an hour,Regularly,Sometimes,Yes,Yes,Yes,Music,Yes
100,36.2,6,0,2,Teacher,M,Good,6-10 cedis,2,Far,No,Average,Excellent,38,Yes,Yes,Yes,2 hours and above,Regularly,Sometimes,Yes,Yes,No,,
101,36.3,6,0,2,Teacher,M,Good,11 cedis and above,3,Close,No,Excellent,Excellent,38,Yes,Maybe,Yes,1 hour,Regularly,Not at all,Yes,Yes,No,,
